bmkegId	uri	resource_id
187	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684501&PLACEBO=IE.pdf&mode=pdf	32651
188	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684495&PLACEBO=IE.pdf&mode=pdf	32654
189	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684494&PLACEBO=IE.pdf&mode=pdf	32656
190	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684492&PLACEBO=IE.pdf&mode=pdf	32661
191	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684491&PLACEBO=IE.pdf&mode=pdf	32662
192	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684488&PLACEBO=IE.pdf&mode=pdf	32663
193	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684611&PLACEBO=IE.pdf&mode=pdf	32666
194	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684610&PLACEBO=IE.pdf&mode=pdf	32669
195	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684614&PLACEBO=IE.pdf&mode=pdf	32670
196	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684613&PLACEBO=IE.pdf&mode=pdf	32675
197	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684612&PLACEBO=IE.pdf&mode=pdf	32676
198	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684607&PLACEBO=IE.pdf&mode=pdf	32678
199	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684603&PLACEBO=IE.pdf&mode=pdf	32680
200	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684605&PLACEBO=IE.pdf&mode=pdf	32682
201	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684606&PLACEBO=IE.pdf&mode=pdf	32683
202	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684599&PLACEBO=IE.pdf&mode=pdf	32684
203	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684598&PLACEBO=IE.pdf&mode=pdf	32686
204	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684595&PLACEBO=IE.pdf&mode=pdf	32689
205	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684596&PLACEBO=IE.pdf&mode=pdf	32691
206	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684594&PLACEBO=IE.pdf&mode=pdf	32692
207	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684600&PLACEBO=IE.pdf&mode=pdf	32694
208	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684593&PLACEBO=IE.pdf&mode=pdf	32696
209	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684587&PLACEBO=IE.pdf&mode=pdf	32697
210	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684588&PLACEBO=IE.pdf&mode=pdf	32698
211	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684590&PLACEBO=IE.pdf&mode=pdf	32699
212	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684585&PLACEBO=IE.pdf&mode=pdf	32701
213	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684589&PLACEBO=IE.pdf&mode=pdf	32703
214	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684586&PLACEBO=IE.pdf&mode=pdf	32704
215	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684581&PLACEBO=IE.pdf&mode=pdf	32707
216	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684583&PLACEBO=IE.pdf&mode=pdf	32709
217	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684580&PLACEBO=IE.pdf&mode=pdf	32710
